site_id,reading_date,PM_25,location,address,point,lat,lon
LW5,11/04/2020 00:00,22.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,12/04/2020 00:00,15.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,13/04/2020 00:00,4.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,14/04/2020 00:00,5.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,15/04/2020 00:00,15.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,16/04/2020 00:00,36.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,17/04/2020 00:00,7.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,18/04/2020 00:00,10.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,19/04/2020 00:00,8.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,20/04/2020 00:00,8.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,21/04/2020 00:00,8.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,22/04/2020 00:00,13.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,23/04/2020 00:00,16.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,24/04/2020 00:00,18.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,25/04/2020 00:00,8.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,26/04/2020 00:00,11.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,27/04/2020 00:00,13.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,28/04/2020 00:00,3.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,29/04/2020 00:00,4.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,30/04/2020 00:00,2.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,01/05/2020 00:00,2.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,02/05/2020 00:00,10.794952681388011,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,03/05/2020 00:00,10.794952681388011,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,04/05/2020 00:00,10.794952681388011,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,05/05/2020 00:00,3.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,06/05/2020 00:00,9.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,07/05/2020 00:00,14.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,08/05/2020 00:00,16.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,09/05/2020 00:00,26.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,10/05/2020 00:00,13.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,11/05/2020 00:00,10.794952681388011,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,12/05/2020 00:00,10.794952681388011,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,13/05/2020 00:00,10.794952681388011,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,14/05/2020 00:00,10.794952681388011,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,15/05/2020 00:00,10.794952681388011,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,16/05/2020 00:00,6.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,17/05/2020 00:00,6.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,18/05/2020 00:00,4.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,19/05/2020 00:00,3.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,20/05/2020 00:00,5.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,21/05/2020 00:00,8.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,22/05/2020 00:00,8.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,23/05/2020 00:00,6.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,24/05/2020 00:00,6.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,25/05/2020 00:00,10.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,26/05/2020 00:00,10.794952681388011,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,27/05/2020 00:00,10.794952681388011,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,28/05/2020 00:00,10.794952681388011,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,29/05/2020 00:00,10.794952681388011,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,30/05/2020 00:00,10.794952681388011,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,31/05/2020 00:00,10.794952681388011,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,01/06/2020 00:00,10.794952681388011,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,02/06/2020 00:00,10.794952681388011,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,03/06/2020 00:00,12.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,04/06/2020 00:00,10.794952681388011,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,05/06/2020 00:00,10.794952681388011,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,06/06/2020 00:00,10.794952681388011,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,07/06/2020 00:00,10.794952681388011,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,08/06/2020 00:00,10.794952681388011,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,09/06/2020 00:00,10.794952681388011,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,10/06/2020 00:00,10.794952681388011,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,11/06/2020 00:00,10.794952681388011,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,12/06/2020 00:00,10.794952681388011,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,13/06/2020 00:00,10.794952681388011,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,14/06/2020 00:00,10.794952681388011,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,15/06/2020 00:00,10.794952681388011,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,16/06/2020 00:00,10.794952681388011,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,17/06/2020 00:00,8.0,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,18/06/2020 00:00,10.794952681388011,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,19/06/2020 00:00,10.794952681388011,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,20/06/2020 00:00,10.794952681388011,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
LW5,21/06/2020 00:00,10.794952681388011,Deptford,"Deptford,London, United Kingdom","(51.4807988, -0.0231099)",51.4807988,-0.0231099
