Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
KF1,PM2.5,03/04/2020 00:00,7.3,ug/m3,P
KF1,PM2.5,04/04/2020 00:00,10.1,ug/m3,P
KF1,PM2.5,05/04/2020 00:00,9.3,ug/m3,P
KF1,PM2.5,06/04/2020 00:00,5.9,ug/m3,P
KF1,PM2.5,07/04/2020 00:00,11.4,ug/m3,P
KF1,PM2.5,08/04/2020 00:00,33.6,ug/m3,P
KF1,PM2.5,09/04/2020 00:00,40.1,ug/m3,P
KF1,PM2.5,10/04/2020 00:00,27.5,ug/m3,P
KF1,PM2.5,11/04/2020 00:00,19.3,ug/m3,P
KF1,PM2.5,12/04/2020 00:00,18.8,ug/m3,P
KF1,PM2.5,13/04/2020 00:00,7.5,ug/m3,P
KF1,PM2.5,14/04/2020 00:00,7.5,ug/m3,P
KF1,PM2.5,15/04/2020 00:00,17.0,ug/m3,P
KF1,PM2.5,16/04/2020 00:00,33.5,ug/m3,P
KF1,PM2.5,17/04/2020 00:00,9.5,ug/m3,P
KF1,PM2.5,18/04/2020 00:00,13.6,ug/m3,P
KF1,PM2.5,19/04/2020 00:00,9.3,ug/m3,P
KF1,PM2.5,20/04/2020 00:00,8.8,ug/m3,P
KF1,PM2.5,21/04/2020 00:00,10.3,ug/m3,P
KF1,PM2.5,22/04/2020 00:00,13.6,ug/m3,P
KF1,PM2.5,23/04/2020 00:00,18.1,ug/m3,P
KF1,PM2.5,24/04/2020 00:00,17.1,ug/m3,P
KF1,PM2.5,25/04/2020 00:00,11.7,ug/m3,P
KF1,PM2.5,26/04/2020 00:00,11.2,ug/m3,P
KF1,PM2.5,27/04/2020 00:00,15.6,ug/m3,P
KF1,PM2.5,28/04/2020 00:00,4.7,ug/m3,P
KF1,PM2.5,29/04/2020 00:00,5.8,ug/m3,P
KF1,PM2.5,30/04/2020 00:00,4.0,ug/m3,P
KF1,PM2.5,01/05/2020 00:00,4.1,ug/m3,P
KF1,PM2.5,02/05/2020 00:00,3.6,ug/m3,P
KF1,PM2.5,03/05/2020 00:00,5.8,ug/m3,P
KF1,PM2.5,04/05/2020 00:00,7.8,ug/m3,P
KF1,PM2.5,05/05/2020 00:00,5.0,ug/m3,P
KF1,PM2.5,06/05/2020 00:00,9.2,ug/m3,P
KF1,PM2.5,07/05/2020 00:00,11.6,ug/m3,P
KF1,PM2.5,08/05/2020 00:00,12.1,ug/m3,P
KF1,PM2.5,09/05/2020 00:00,23.8,ug/m3,P
KF1,PM2.5,10/05/2020 00:00,13.3,ug/m3,P
KF1,PM2.5,11/05/2020 00:00,4.3,ug/m3,P
KF1,PM2.5,12/05/2020 00:00,5.0,ug/m3,P
KF1,PM2.5,13/05/2020 00:00,4.4,ug/m3,P
KF1,PM2.5,14/05/2020 00:00,3.4,ug/m3,P
KF1,PM2.5,15/05/2020 00:00,6.2,ug/m3,P
KF1,PM2.5,16/05/2020 00:00,5.1,ug/m3,P
KF1,PM2.5,17/05/2020 00:00,5.3,ug/m3,P
KF1,PM2.5,18/05/2020 00:00,4.6,ug/m3,P
KF1,PM2.5,19/05/2020 00:00,3.7,ug/m3,P
KF1,PM2.5,20/05/2020 00:00,4.6,ug/m3,P
KF1,PM2.5,21/05/2020 00:00,5.7,ug/m3,P
KF1,PM2.5,22/05/2020 00:00,8.5,ug/m3,P
KF1,PM2.5,23/05/2020 00:00,7.2,ug/m3,P
KF1,PM2.5,24/05/2020 00:00,7.9,ug/m3,P
KF1,PM2.5,25/05/2020 00:00,7.6,ug/m3,P
KF1,PM2.5,26/05/2020 00:00,6.5,ug/m3,P
KF1,PM2.5,27/05/2020 00:00,6.4,ug/m3,P
KF1,PM2.5,28/05/2020 00:00,5.4,ug/m3,P
KF1,PM2.5,29/05/2020 00:00,6.0,ug/m3,P
KF1,PM2.5,30/05/2020 00:00,7.4,ug/m3,P
KF1,PM2.5,31/05/2020 00:00,5.5,ug/m3,P
KF1,PM2.5,01/06/2020 00:00,4.7,ug/m3,P
KF1,PM2.5,02/06/2020 00:00,5.4,ug/m3,P
KF1,PM2.5,03/06/2020 00:00,8.1,ug/m3,P
KF1,PM2.5,04/06/2020 00:00,4.1,ug/m3,P
KF1,PM2.5,05/06/2020 00:00,2.7,ug/m3,P
KF1,PM2.5,06/06/2020 00:00,3.7,ug/m3,P
KF1,PM2.5,07/06/2020 00:00,3.7,ug/m3,P
KF1,PM2.5,08/06/2020 00:00,6.0,ug/m3,P
KF1,PM2.5,09/06/2020 00:00,6.8,ug/m3,P
