site_id,reading_date,PM_25,location,address
LW5,09/05/2020 00:00,26.0,Deptford,"Deptford,London, United Kingdom"
LW5,10/05/2020 00:00,13.0,Deptford,"Deptford,London, United Kingdom"
LW5,11/05/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,12/05/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,13/05/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,14/05/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,15/05/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,16/05/2020 00:00,6.0,Deptford,"Deptford,London, United Kingdom"
LW5,17/05/2020 00:00,6.0,Deptford,"Deptford,London, United Kingdom"
LW5,18/05/2020 00:00,4.0,Deptford,"Deptford,London, United Kingdom"
LW5,19/05/2020 00:00,3.0,Deptford,"Deptford,London, United Kingdom"
LW5,20/05/2020 00:00,5.0,Deptford,"Deptford,London, United Kingdom"
LW5,21/05/2020 00:00,8.0,Deptford,"Deptford,London, United Kingdom"
LW5,22/05/2020 00:00,8.0,Deptford,"Deptford,London, United Kingdom"
LW5,23/05/2020 00:00,6.0,Deptford,"Deptford,London, United Kingdom"
LW5,24/05/2020 00:00,6.0,Deptford,"Deptford,London, United Kingdom"
LW5,25/05/2020 00:00,10.0,Deptford,"Deptford,London, United Kingdom"
LW5,26/05/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,27/05/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,28/05/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,29/05/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,30/05/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,31/05/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,01/06/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,02/06/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,03/06/2020 00:00,12.0,Deptford,"Deptford,London, United Kingdom"
LW5,04/06/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,05/06/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,06/06/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,07/06/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,08/06/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,09/06/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,10/06/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,11/06/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,12/06/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,13/06/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,14/06/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,15/06/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,16/06/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,17/06/2020 00:00,8.0,Deptford,"Deptford,London, United Kingdom"
LW5,18/06/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,19/06/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,20/06/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,21/06/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,22/06/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,23/06/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,24/06/2020 00:00,14.0,Deptford,"Deptford,London, United Kingdom"
LW5,25/06/2020 00:00,15.0,Deptford,"Deptford,London, United Kingdom"
LW5,26/06/2020 00:00,13.0,Deptford,"Deptford,London, United Kingdom"
LW5,27/06/2020 00:00,3.0,Deptford,"Deptford,London, United Kingdom"
LW5,28/06/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,29/06/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,30/06/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,01/07/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,02/07/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,03/07/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,04/07/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,05/07/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,06/07/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,07/07/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,08/07/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,09/07/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,10/07/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,11/07/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,12/07/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,13/07/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,14/07/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,15/07/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,16/07/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,17/07/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,18/07/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,19/07/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,20/07/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,21/07/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,22/07/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,23/07/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,24/07/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,25/07/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,26/07/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,27/07/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,28/07/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,29/07/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,30/07/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,31/07/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,01/08/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,02/08/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,03/08/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,04/08/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,05/08/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,06/08/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,07/08/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,08/08/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,09/08/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,10/08/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,11/08/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,12/08/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,13/08/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,14/08/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,15/08/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,16/08/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,17/08/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,18/08/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,19/08/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,20/08/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,21/08/2020 00:00,6.0,Deptford,"Deptford,London, United Kingdom"
LW5,22/08/2020 00:00,7.0,Deptford,"Deptford,London, United Kingdom"
LW5,23/08/2020 00:00,8.0,Deptford,"Deptford,London, United Kingdom"
LW5,24/08/2020 00:00,9.0,Deptford,"Deptford,London, United Kingdom"
LW5,25/08/2020 00:00,4.0,Deptford,"Deptford,London, United Kingdom"
LW5,26/08/2020 00:00,7.0,Deptford,"Deptford,London, United Kingdom"
LW5,27/08/2020 00:00,10.0,Deptford,"Deptford,London, United Kingdom"
LW5,28/08/2020 00:00,3.0,Deptford,"Deptford,London, United Kingdom"
LW5,29/08/2020 00:00,6.0,Deptford,"Deptford,London, United Kingdom"
LW5,30/08/2020 00:00,8.0,Deptford,"Deptford,London, United Kingdom"
LW5,31/08/2020 00:00,8.0,Deptford,"Deptford,London, United Kingdom"
LW5,01/09/2020 00:00,14.0,Deptford,"Deptford,London, United Kingdom"
LW5,02/09/2020 00:00,11.0,Deptford,"Deptford,London, United Kingdom"
LW5,03/09/2020 00:00,8.0,Deptford,"Deptford,London, United Kingdom"
LW5,04/09/2020 00:00,8.0,Deptford,"Deptford,London, United Kingdom"
LW5,05/09/2020 00:00,10.0,Deptford,"Deptford,London, United Kingdom"
LW5,06/09/2020 00:00,9.0,Deptford,"Deptford,London, United Kingdom"
LW5,07/09/2020 00:00,10.0,Deptford,"Deptford,London, United Kingdom"
LW5,08/09/2020 00:00,12.0,Deptford,"Deptford,London, United Kingdom"
LW5,09/09/2020 00:00,11.0,Deptford,"Deptford,London, United Kingdom"
LW5,10/09/2020 00:00,9.0,Deptford,"Deptford,London, United Kingdom"
LW5,11/09/2020 00:00,11.0,Deptford,"Deptford,London, United Kingdom"
LW5,12/09/2020 00:00,10.0,Deptford,"Deptford,London, United Kingdom"
LW5,13/09/2020 00:00,13.0,Deptford,"Deptford,London, United Kingdom"
LW5,14/09/2020 00:00,21.0,Deptford,"Deptford,London, United Kingdom"
LW5,15/09/2020 00:00,30.0,Deptford,"Deptford,London, United Kingdom"
LW5,16/09/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,17/09/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,18/09/2020 00:00,10.0,Deptford,"Deptford,London, United Kingdom"
LW5,19/09/2020 00:00,12.0,Deptford,"Deptford,London, United Kingdom"
LW5,20/09/2020 00:00,15.0,Deptford,"Deptford,London, United Kingdom"
LW5,21/09/2020 00:00,18.0,Deptford,"Deptford,London, United Kingdom"
LW5,22/09/2020 00:00,19.0,Deptford,"Deptford,London, United Kingdom"
LW5,23/09/2020 00:00,5.0,Deptford,"Deptford,London, United Kingdom"
LW5,24/09/2020 00:00,5.0,Deptford,"Deptford,London, United Kingdom"
LW5,25/09/2020 00:00,4.0,Deptford,"Deptford,London, United Kingdom"
LW5,26/09/2020 00:00,7.0,Deptford,"Deptford,London, United Kingdom"
LW5,27/09/2020 00:00,8.0,Deptford,"Deptford,London, United Kingdom"
LW5,28/09/2020 00:00,13.0,Deptford,"Deptford,London, United Kingdom"
LW5,29/09/2020 00:00,12.0,Deptford,"Deptford,London, United Kingdom"
LW5,30/09/2020 00:00,9.0,Deptford,"Deptford,London, United Kingdom"
LW5,01/10/2020 00:00,2.0,Deptford,"Deptford,London, United Kingdom"
LW5,02/10/2020 00:00,5.0,Deptford,"Deptford,London, United Kingdom"
LW5,03/10/2020 00:00,4.0,Deptford,"Deptford,London, United Kingdom"
LW5,04/10/2020 00:00,1.0,Deptford,"Deptford,London, United Kingdom"
LW5,05/10/2020 00:00,5.0,Deptford,"Deptford,London, United Kingdom"
LW5,06/10/2020 00:00,3.0,Deptford,"Deptford,London, United Kingdom"
LW5,07/10/2020 00:00,5.0,Deptford,"Deptford,London, United Kingdom"
LW5,08/10/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,09/10/2020 00:00,8.0,Deptford,"Deptford,London, United Kingdom"
LW5,10/10/2020 00:00,5.0,Deptford,"Deptford,London, United Kingdom"
